ICDec,ICRA,ICsigmaR,ICtime,ICmsec
51.0612,147.06,1.16757,2016-01-07 21:23:11,859578
27.6788,162.418,0.897474,2016-01-15 11:27:01,338763
53.03,137.517,0.777008,2016-01-30 02:03:45,175464
21.094,138.382,4.6215,2016-01-24 19:08:27,64501
16.0861,355.515,3.27529,2016-01-08 12:15:41,136527
18.4577,41.2079,2.5062,2016-01-08 05:49:30,768713
85.5196,347.777,1.29757,2016-01-27 12:23:38,837771
68.5006,319.585,0.534417,2016-01-08 07:51:08,893398
88.7208,139.558,1.37592,2016-01-14 16:19:41,392019
39.5962,82.3109,2.70464,2016-01-26 02:51:26,128468
72.3986,314.13,0.727098,2016-01-25 23:10:15,559140
76.7864,14.5817,1.73783,2016-01-31 16:12:15,316033
25.398,336.796,0.631245,2016-01-29 23:59:59,584642
65.0239,26.5254,5.68507,2016-01-01 03:39:25,177805
38.9197,290.538,2.33545,2016-01-26 00:14:33,788956
54.9223,63.0226,5.1172,2016-01-08 23:04:25,303085
77.0246,303.924,0.848624,2016-01-06 01:27:54,938381
13.7094,354.031,1.35242,2016-01-14 04:36:19,210493
11.8587,95.3948,0.726475,2016-01-06 05:48:54,3222
6.52936,339.934,1.54863,2016-01-16 04:33:15,169260
73.998,121.795,1.76266,2016-01-07 03:56:29,936771
82.8139,189.328,1.30948,2016-01-17 14:30:55,325292
80.3333,230.514,1.37428,2016-01-18 21:52:20,376647
39.283,101.25,2.67383,2016-01-07 06:43:23,243734
7.92451,337.947,1.67306,2016-01-18 18:26:38,200786
71.628,116.918,0.669509,2016-01-28 05:21:22,224593
66.4253,228.524,0.656686,2016-01-28 23:48:28,306975
22.5715,129.489,1.22255,2016-01-28 06:56:32,745626
1.07434,129.774,1.77259,2016-01-16 04:02:43,890745
33.2816,37.5427,1.96229,2016-01-30 08:24:04,20933
64.8834,341.72,0.800088,2016-01-21 05:29:04,762613
4.8504,201.432,1.08009,2016-01-30 02:16:22,73886
82.6612,116.45,0.338679,2016-01-29 21:50:52,424456
14.9931,205.926,2.29074,2016-01-31 20:31:39,61275
4.5506,315.81,1.71088,2016-01-28 18:47:19,212579
48.9753,276.505,1.00687,2016-01-28 09:24:57,16885
8.36985,326.438,1.62807,2016-01-15 17:35:11,440739
65.2739,290.09,0.51222,2016-01-09 22:10:21,823046
42.987,49.4061,0.554205,2016-01-06 18:36:48,510250
55.1738,128.976,1.14709,2016-01-13 22:11:02,944196
40.9428,216.802,2.95299,2016-01-22 03:34:12,391940
28.8504,135.885,0.563101,2016-01-08 19:25:22,445171
47.714,93.5924,3.0787,2016-01-22 13:16:50,175572
10.2182,68.5012,3.4909,2016-01-16 15:16:05,883572
13.3883,24.9439,1.96983,2016-01-12 02:54:29,287759
38.6891,251.26,1.18515,2016-01-10 07:26:56,442293
54.7567,95.5918,1.82626,2016-01-19 16:43:27,800213
26.6468,273.461,2.54303,2016-01-01 21:09:15,3782
32.6611,260.78,0.661469,2016-01-13 02:15:55,780731
51.9704,250.602,0.246365,2016-01-27 14:24:37,986823
37.2028,142.884,4.52269,2016-01-09 17:14:47,956517
53.4063,304.806,2.31739,2016-01-03 16:01:32,764233
85.7547,333.401,2.35277,2016-01-22 11:48:24,214650
47.9906,130.291,0.297007,2016-01-22 11:14:44,15303
40.4512,295.605,4.93652,2016-01-04 21:16:18,93427
18.4172,186.832,0.857074,2016-01-03 09:08:52,78179
67.6614,163.29,4.1511,2016-01-22 15:12:47,554488
42.6312,201.496,4.16339,2016-01-09 09:48:35,214814
29.4234,173.935,1.16669,2016-01-24 06:06:55,144978
53.1001,356.59,6.32006,2016-01-01 20:20:00,312906
85.2349,164.199,0.882964,2016-01-08 07:21:14,626036
28.8379,225.377,1.04835,2016-01-14 18:43:44,282880
85.8476,143.394,1.34394,2016-01-17 02:41:32,112253
88.7486,97.2347,1.25531,2016-01-25 07:18:46,389615
10.7575,174.571,1.0156,2016-01-17 20:13:57,561605
41.076,159.676,1.27296,2016-01-10 16:15:06,742053
48.0493,252.458,1.78006,2016-01-09 06:04:14,830773
41.3058,112.701,2.48386,2016-01-22 19:43:43,490246
89.8115,17.3044,2.16953,2016-01-07 12:52:32,955810
47.0377,198.584,2.14526,2016-01-12 16:19:32,940855
73.2559,58.6706,2.15342,2016-01-16 16:20:10,222318
6.43993,225.318,0.82697,2016-01-08 08:22:51,361061
32.7467,176.784,0.463097,2016-01-22 14:37:14,968204
6.5517,42.079,0.728782,2016-01-28 18:04:13,582893
53.1413,310.127,1.43987,2016-01-16 23:56:17,268571
59.0662,341.169,11.4394,2016-01-02 02:54:43,883113
2.29525,24.4739,0.531447,2016-01-21 21:07:28,562275
65.2298,205.671,1.55159,2016-01-11 03:30:19,810610
19.4868,294.353,2.36672,2016-01-02 13:30:19,532713
81.8009,60.9501,1.06598,2016-01-28 14:20:55,620062
26.5556,55.069,5.55259,2016-01-06 10:09:25,735211
72.6851,119.344,1.80818,2016-01-04 18:48:13,506688
47.6136,192.941,3.33792,2016-01-12 03:46:20,984312
29.9466,337.798,1.41655,2016-01-15 19:33:52,364847
58.5277,14.5808,3.01303,2016-01-24 20:52:15,400252
66.5996,288.665,5.8448,2016-01-22 00:10:37,240146
7.4548,182.299,0.284273,2016-01-07 19:41:49,305955
81.9212,154.811,0.532906,2016-01-10 20:58:43,132651
15.4596,118.035,1.8033,2016-01-24 05:29:52,360895
41.3791,297.188,0.664186,2016-01-07 06:46:30,645435
76.2301,13.0349,2.64865,2016-01-27 15:56:34,206999
77.4668,95.8879,0.443985,2016-01-12 03:52:16,921728
9.98095,99.5099,0.509544,2016-01-13 09:50:33,802179
5.84342,18.5992,0.380667,2016-01-31 06:02:37,343521
60.4559,33.2132,1.93922,2016-01-21 02:40:21,863017
2.76339,146.689,0.89981,2016-01-12 15:59:42,185227
76.2681,219.139,1.39855,2016-01-14 14:43:07,29780
13.9506,117.962,0.626236,2016-01-15 16:43:26,55632
33.4227,97.9999,4.96668,2016-01-13 22:31:07,707970
64.579,255.085,11.4958,2016-01-02 00:25:15,734908
35.3681,309.59,1.20346,2016-01-21 22:16:59,711439
45.9183,328.815,0.616957,2016-01-26 06:16:35,826118
34.0798,180.493,0.858868,2016-01-07 11:20:30,84187
51.9641,43.6285,0.598226,2016-01-03 09:27:19,130806
53.91,90.0534,0.803785,2016-01-28 00:31:55,892533
68.9202,245.053,1.55778,2016-01-05 07:45:17,754964
70.9843,130.01,1.57275,2016-01-07 05:50:36,969263
75.644,325.488,1.41569,2016-01-30 13:04:36,384682
11.2248,327.537,0.372822,2016-01-09 06:30:43,751859
49.195,212.214,1.34921,2016-01-25 00:10:01,196895
5.97829,237.308,0.364985,2016-01-09 07:02:21,903450
58.3776,82.9182,1.42842,2016-01-01 09:50:55,913412
37.5586,254.749,1.08877,2016-01-03 13:02:02,449012
0.409569,225.021,0.662376,2016-01-04 08:24:23,987279
18.1571,13.9305,0.951206,2016-01-27 09:40:17,163511
65.0725,224.017,0.550709,2016-01-03 23:35:21,740134
28.6383,257.21,1.8473,2016-01-15 14:05:09,757782
29.9264,252.135,3.02051,2016-01-30 01:00:31,175331
0.508944,38.0607,1.25789,2016-01-11 08:45:00,214259
88.5515,304.894,1.53568,2016-01-11 09:04:38,556166
24.7843,338.668,1.8524,2016-01-12 21:51:54,785785
54.8444,269.867,0.591708,2016-01-15 00:34:23,30959
6.96928,141.05,0.748329,2016-01-28 09:21:59,934374
54.7176,192.289,3.25288,2016-01-10 05:19:35,302388
38.6008,291.739,0.585994,2016-01-24 08:24:30,90963
23.0588,35.8841,1.39888,2016-01-23 09:05:26,794556
68.3956,219.439,3.03589,2016-01-20 14:47:20,626362
61.6133,349.191,0.829188,2016-01-28 10:27:48,23080
57.5211,302.641,1.93292,2016-01-11 08:23:29,111256
22.2573,54.1997,1.29907,2016-01-02 04:56:31,409836
89.2118,42.2928,0.582073,2016-01-02 01:34:05,273379
66.4296,295.628,4.89797,2016-01-23 12:36:11,952075
2.7885,151.749,1.79157,2016-01-09 05:32:07,900943
29.8847,80.9811,1.60612,2016-01-17 09:58:33,728439
86.4413,36.2798,1.03466,2016-01-01 03:59:27,107712
70.9313,54.2455,1.23347,2016-01-07 16:59:40,281466
82.2852,186.387,0.515599,2016-01-13 07:18:30,25771
82.5342,127.771,0.273758,2016-01-11 11:23:53,629676
89.3875,250.742,1.41995,2016-01-30 08:09:10,952934
64.737,110.868,0.988084,2016-01-11 18:46:45,644367
10.9737,194.692,2.60981,2016-01-17 08:41:26,551721
30.5882,149.166,1.49056,2016-01-10 07:11:46,424867
57.2186,191.44,0.76628,2016-01-23 06:25:24,357808
9.11161,63.7974,3.86069,2016-01-29 08:40:49,789830
63.2352,14.4001,0.6445,2016-01-22 08:08:15,485282
43.8085,293.297,0.525699,2016-01-24 03:44:33,301815
31.8977,333.222,0.931802,2016-01-12 20:48:04,623181
45.1276,164.058,0.341456,2016-01-16 00:30:50,734491
46.928,83.6027,1.79287,2016-01-03 12:36:26,426731
62.3525,82.5109,0.962863,2016-01-27 02:58:03,360380
27.9686,349.521,1.32964,2016-01-02 21:10:54,671547
87.7131,11.8272,0.778207,2016-01-22 11:26:41,239356
72.0474,125.466,2.20895,2016-01-13 05:40:17,667713
3.40068,12.739,0.659756,2016-01-11 00:06:34,764372
36.3432,183.537,2.02428,2016-01-29 05:35:57,452763
45.0709,278.037,2.34318,2016-01-15 05:57:06,161834
34.1384,147.416,2.74868,2016-01-06 07:52:13,569734
48.3043,338.737,0.594951,2016-01-17 16:05:03,219452
62.6483,319.953,2.62294,2016-01-25 08:32:55,404721
74.633,25.0369,0.377346,2016-01-04 12:55:09,265307
45.8374,190.145,0.900177,2016-01-22 04:25:38,182246
52.9294,325.643,1.6668,2016-01-27 18:01:19,730568
38.1311,102.634,1.0461,2016-01-18 15:28:38,500857
18.4255,294.967,1.99507,2016-01-25 05:38:38,623512
50.3597,238.406,1.50144,2016-01-23 00:49:37,377901
7.762,299.685,0.377547,2016-01-11 20:00:48,610203
32.0717,340.392,1.78238,2016-01-31 11:56:15,637060
86.1024,166.276,2.6261,2016-01-02 04:05:23,245455
72.0867,71.2463,1.9163,2016-01-18 01:04:05,115051
48.1568,272.773,2.07496,2016-01-17 08:30:26,201249
17.442,119.959,0.542732,2016-01-19 13:40:09,482257
85.5542,49.6366,0.753576,2016-01-05 01:35:49,534619
40.3858,209.204,0.411748,2016-01-18 00:48:00,324775
82.9544,315.079,1.53112,2016-01-10 13:29:34,246325
2.04375,227.253,0.406567,2016-01-03 09:54:10,299882
26.7486,320.585,1.7887,2016-01-24 12:35:53,423148
57.5677,354.367,2.48894,2016-01-12 16:08:52,170574
59.0219,351.787,3.08275,2016-01-07 18:14:42,832087
87.7775,223.488,0.745541,2016-01-27 06:49:22,331019
20.7706,342.156,2.48106,2016-01-02 23:19:20,711586
9.65981,81.3493,0.428685,2016-01-17 01:05:10,650386
61.0628,56.5538,3.03852,2016-01-17 03:51:09,663036
55.1115,272.738,0.626231,2016-01-16 06:15:41,339591
36.712,243.458,0.967667,2016-01-29 23:12:35,710441
85.5333,80.416,0.891648,2016-01-05 00:32:22,146246
1.46833,20.7795,0.395219,2016-01-14 06:36:03,930038
6.13541,287.248,3.74352,2016-01-15 14:26:18,309254
7.25489,163.625,0.500283,2016-01-24 11:35:09,567080
51.2697,152.973,1.07271,2016-01-01 16:10:29,494634
32.2062,82.2977,3.01865,2016-01-29 19:13:20,720846
46.2093,49.2811,42.3731,2016-01-06 17:08:32,640730
23.2942,317.234,0.574151,2016-01-14 18:42:25,10830
44.625,7.98035,0.820392,2016-01-15 23:33:36,950337
20.9008,289.544,1.85621,2016-01-03 03:51:58,987717
62.7756,129.955,1.47589,2016-01-21 07:02:39,264382
89.5188,329.854,1.88227,2016-01-28 07:24:48,859264
36.6037,340.167,0.747457,2016-01-15 11:58:13,983523
46.7079,43.3127,0.737022,2016-01-27 12:17:57,828804
54.4887,200.015,1.41752,2016-01-10 06:01:41,143028
48.0032,339.856,41.8915,2016-01-18 04:17:25,137808
86.8643,234.815,2.30976,2016-01-23 22:22:03,513968
73.8563,177.205,3.17984,2016-01-08 05:19:39,333226
12.0418,195.886,0.805122,2016-01-03 21:34:36,527536
24.0328,24.1526,0.552301,2016-01-20 19:24:04,201225
31.4137,171.405,0.844136,2016-01-08 23:43:43,709570
72.9397,274.787,2.16571,2016-01-11 17:24:16,419369
43.0657,130.806,1.58727,2016-01-17 21:49:30,294717
14.3593,133.378,0.532208,2016-01-30 05:41:59,224952
78.1167,339.523,0.49161,2016-01-02 20:58:50,84939
67.8899,155.328,0.872913,2016-01-22 06:10:44,907361
11.0534,69.0332,2.73465,2016-01-27 23:42:11,593713
2.154,56.1565,3.04751,2016-01-03 12:25:14,155905
58.5574,176.105,2.04224,2016-01-17 01:42:29,325307
29.7457,16.1272,2.94232,2016-01-15 09:51:15,745244
20.6429,69.6907,2.22991,2016-01-11 17:11:38,969312
10.9006,21.094,0.713504,2016-01-23 16:32:34,956181
44.3057,250.44,0.906486,2016-01-17 23:39:36,501957
9.92266,139.307,0.393772,2016-01-22 03:03:01,819564
11.7305,205.072,1.8962,2016-01-04 22:48:16,156198
9.76022,270.156,1.23129,2016-01-11 04:16:41,315108
61.8391,150.213,0.490985,2016-01-01 12:01:55,816649
29.6831,156.026,2.7479,2016-01-05 18:32:58,260585
39.1308,358.285,12.2986,2016-01-30 22:43:28,964028
66.9996,356.246,0.817056,2016-01-15 13:22:50,388943
4.21289,55.9879,0.456696,2016-01-13 05:30:51,263442
50.0608,213.368,0.964293,2016-01-29 10:11:26,924947
27.828,26.2367,1.33475,2016-01-24 01:59:46,467045
30.8975,218.503,0.99999,2016-01-29 11:37:52,156278
